The Union Cabinet chaired by Prime Minister Shri Narendra Modi has approved the proposal for closure of Autonomous Bodies, namely, Rashtriya Arogya Nidhi (RAN) and Jansankhya Sthirata Kosh (JSK) and the functions are proposed to be vested in Department of Health & Family Welfare (DoHFW).	స్వ‌తంత్ర ప్రతిప‌త్తి గల సంస్థ‌లు అయినటువంటి రాష్ట్రీయ ఆరోగ్య నిధి (ఆర్ఎఎన్‌), జ‌న‌సంఖ్య స్థిర‌త కోశ్ (జెఎస్ కె) లను మూసివేసి, అవి నిర్వ‌హిస్తున్న బాధ్య‌త‌ల‌ను ఆరోగ్యం మరియు కుటుంబ సంక్షేమ విభాగానికి (డిఒహెచ్ ఎఫ్ డబ్ల్యు కు) బ‌దిలీ చేయాల‌న్న ప్ర‌తిపాద‌న‌ను ప్ర‌ధాన‌ మంత్రి శ్రీ న‌రేంద్ర‌ మోదీ అధ్యక్షతన స‌మావేశ‌మైన కేంద్ర మంత్రివర్గం ఆమోదించింది.
The rationalization of Autonomous Bodies under Department of Health & Family Welfare will involve inter-ministerial consultations and review of existing bye laws of these bodies.	స్వ‌తంత్ర ప్రతిప‌త్తి గల సంస్థ‌ల హేతుబ‌ద్ధీక‌ర‌ణ వ్య‌వ‌హారం భిన్న మంత్రిత్వ శాఖ‌ల‌తో చ‌ర్చ‌లు, ప్ర‌స్తుతం అమ‌లులో ఉన్న ఉప నిబంధనల స‌మీక్ష‌తో ముడిప‌డి ఉంది.
An advance is placed with the Medical Superintendents of such hospitals who then provide assistance on a case to case basis.	ఈ నిధి నుండి కొంత సొమ్ము ను ఆయా ఆస్ప‌త్రుల మెడిక‌ల్ సూప‌రింటెండెంట్ ల చేతిలో ఉంచుతారు.
Since the DoHFW provides funds to the hospitals, the grants can be given from the Department to the hospital directly.	వారు కేసుల వారీగా ప‌రిశీలించి ఆయా రోగుల‌కు వైద్య స‌హాయం మంజూరు చేస్తారు.
RAN functions can, therefore, be vested in DoHFW.	ఈ బాధ్య‌త‌ల‌న్నీ డిఒహెచ్ ఎఫ్ డబ్ల్యు చేతికి వ‌స్తాయి.
Managing Committee of RAN Society will meet to dissolve the Autonomous Body (AB) as per provisions of Societies Registration Act, 1860 (SRA).	సొసైటీల నమోదు చ‌ట్టం, 1860 (ఎస్ఆర్ఎ) నిబంధనల మేరకు స‌ర్వ‌ స్వ‌తంత్ర సంస్థ‌ను రద్దు చేయడం కోసం ఆర్ ఎఎన్ యొక్క మేనేజింగ్ క‌మిటీ స‌మావేశ‌మ‌వుతుంది.
In addition to this, Health Minister’s Cancer Patient Fund (HMCPF) shall also be transferred to the Department.	దీనికి తోడు, ఆరోగ్య మంత్రి యొక్క కేన్స‌ర్‌ రోగుల నిధి (హెచ్ఎమ్ సిపిఎఫ్‌) కూడా ఆరోగ్యం మరియు కుటుంబ సంక్షేమ విభాగానికే బ‌దిలీ అవుతుంది.
The timeline required for this is one year.	ఇందుకు కూడా ఏడాది గ‌డువు ఉంటుంది.
Jansankhya Sthirata Kosh (JSK) was set up with a corpus grant of Rs.100 crores in the year 2003 to raise awareness for population stabilization strategies.	జ‌నాభా స్థిరీక‌ర‌ణ వ్యూహాల విష‌యంలో చైత‌న్యం క‌ల్పించ‌డం ల‌క్ష్యంగా జ‌న‌సంఖ్య స్థిర‌త కోశ్ (జెఎస్‌కె) 2003 సంవ‌త్స‌రంలో 100 కోట్ల రూపాయ‌ల ప్రారంభ నిధితో ఏర్పాట‌యింది.
JSK organizes various activities with target populations as a part of its mandate.	త‌న‌కు అప్ప‌గించిన బాధ్య‌త‌ల నిర్వ‌హ‌ణ‌లో భాగంగా జెఎస్‌కె ప‌లు కార్య‌క్ర‌మాలు చేప‌డుతూ ఉంటుంది.
There has been no continuous funding to JSK from the Ministry.	అయితే ఈ విభాగానికి మంత్రిత్వ శాఖ నుండి నిరంత‌ర నిధుల కేటాయింపు ఉండ‌డంలేదు.
Population stabilization strategies require private and corporate funding, which can be accessed through JSK.	ఇందుకు కార్పొరేట్‌, ప్రైవేట్ నిధుల రాక కూడా కీల‌కం.
Although, JSK will continue to play a significant role in population stabilization strategies, its existence as an Autonomous Body is not necessary.	జ‌నాభా స్థిరీక‌ర‌ణ ప్ర‌య‌త్నాలలో జెఎస్‌కె భ‌విష్య‌త్తులో కూడా కీల‌క పాత్ర పోషించే ఆస్కారం ఉన్న‌ప్ప‌టికీ స‌ర్వ‌స్వ‌తంత్ర సంస్థ‌గా అది ప్ర‌త్యేక హోదాలో ప‌నిచేయాల్సిన అవ‌స‌రం లేదు.
Hence, JSK as an Autonomous Body can be closed as it can be administered by the Department as a fund.	అందుకే ఒక స్వతంత్ర సంస్థ‌గా దానిని మూసివేసి ఆరోగ్య‌, కుటుంబ సంక్షేమ విభాగం ప‌రిధిలోని ఒక నిధిగా మార్చుతారు.
Background:	పూర్వరంగం:
The main concern of the Government is that ABs are required to be reviewed and rationalised with a view to improve their outcomes, effectiveness and efficiency, utilisation of financial and human resources, synergy, governance and relevance in current policy and programme context, with improved monitoring and oversight.	ఆయా సంస్థ‌లు నిర్వ‌హిస్తున్న విధులు, అవి సాధిస్తున్న ఫ‌లితాలు, స‌మ‌ర్థ‌నీయ‌త‌, ఆవ‌శ్య‌క‌త‌, వినియోగ విలువ‌, మాన‌వ వ‌న‌రుల వినియోగం, ఏకీభావం, ప‌రిపాల‌న ల వంటి అన్ని విభాగాల‌ను మ‌రింత మెరుగుప‌ర‌చ‌డం ల‌క్ష్యంగా స్వ‌తంత్ర ప్ర‌తిప‌త్తి గల సంస్థ‌ల వ్య‌వ‌హార శైలిని స‌మీక్షించి హేతుబ‌ద్ధీక‌రించ‌డం ప్ర‌భుత్వ ల‌క్ష్యం.
Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	మాన్యురాలు నెద‌ర్లాండ్స్ రాజ్యానికి మ‌హారాణి మేక్సిమా గారితో ప్ర‌ధాన మంత్రి శ్రీ న‌రేంద్ర మోదీ ఈ రోజు భేటీ అయ్యారు.
