The rationalization of Autonomous Bodies under Department of Health & Family Welfare will involve inter-ministerial consultations and review of existing bye laws of these bodies.	சுகாதாரம் மற்றும் குடும்பநலத் துறையின் கீழ் உள்ள தன்னாட்சி அமைப்புகளை சீரமைக்கும் நடவடிக்கையில், அமைச்சகங்களுக்கு இடையேயான ஆலோசனைகள் நடைபெறும் மற்றும் இந்த அமைப்புகளுக்கான ஏற்கனவே உள்ள சட்டதிட்டங்கள் மறுஆய்வு செய்யப்படும்.
The time frame for implementation is one year,	இதனை செயல்படுத்துவதற்கான காலக்கெடு ஓராண்டு.
Since the DoHFW provides funds to the hospitals, the grants can be given from the Department to the hospital directly.	மருத்துவமனைகளுக்கான நிதியை சுகாதாரம் மற்றும் குடும்ப நலத் துறை வழங்கி வருவதால், நிதியுதவியையும் மருத்துமனைகளுக்கு துறையே நேரில் வழங்க முடியும்.
RAN functions can, therefore, be vested in DoHFW.	தேசிய ஆரோக்கிய நிதி அமைப்பின் செயல்பாடுகள், சுகாதாரம் மற்றும் குடும்பநலத் துறையிடம் இருக்கும்.
Managing Committee of RAN Society will meet to dissolve the Autonomous Body (AB) as per provisions of Societies Registration Act, 1860 (SRA).	சங்கங்கள் பதிவுச் சட்டம், 1860-ல் உள்ள வழிமுறைகளின்படி, தன்னாட்சி அமைப்பை கலைக்க, தேசிய ஆரோக்கிய நிதி சங்கத்தின் நிர்வாகிகள் குழு கூடும்.
In addition to this, Health Minister’s Cancer Patient Fund (HMCPF) shall also be transferred to the Department.	இதற்கு மேலாக, சுகாதார அமைச்சரின் புற்றுநோயால் பாதிக்கப்பட்ட நோயாளிகளுக்கான நிதி-யும், துறைக்கே மாற்றப்படுகிறது.
The timeline required for this is one year.	இதற்கு ஓராண்டு கால அவகாசம் தேவைப்படுகிறது.
Jansankhya Sthirata Kosh (JSK) was set up with a corpus grant of Rs.100 crores in the year 2003 to raise awareness for population stabilization strategies.	மக்கள் தொகையை நிலைப்படுத்துவதற்கான உத்திகள் குறித்து விழிப்புணர்வை ஏற்படுத்துவதற்காக, ரூ.100 கோடி நிதியுடன், கடந்த 2003-ம் ஆண்டில் தேசிய மக்கள் தொகை நிலைப்படுத்துதல் நிதி அமைக்கப்பட்டது.
JSK organizes various activities with target populations as a part of its mandate.	தேசிய மக்கள் தொகை நிலைப்படுத்துதல் நிதி அமைப்பு, தனது நோக்கத்தின் ஒரு பகுதியாக, மக்கள் தொகையை இலக்காகக் கொண்டு பல்வேறு நிகழ்ச்சிகளுக்கு ஏற்பாடு செய்தது.
There has been no continuous funding to JSK from the Ministry.	அமைச்சகத்திடமிருந்து மக்கள் தொகை நிலைப்படுத்துதல் நிதி அமைப்புக்கு தொடர்ந்து நிதி வழங்கப்படவில்லை.
Although, JSK will continue to play a significant role in population stabilization strategies, its existence as an Autonomous Body is not necessary.	மக்கள் தொகை நிலைப்படுத்துதல் உத்திகளில் தேசிய மக்கள் தொகை நிலைப்படுத்துதல் நிதி தொடர்ந்து முக்கியப் பங்கு வகிக்க முடியும் என்றபோதிலும், தன்னாட்சி அமைப்பாக அது செயல்பட வேண்டிய தேவையில்லை.
Hence, JSK as an Autonomous Body can be closed as it can be administered by the Department as a fund.	எனவே, தன்னாட்சி அமைப்பாக உள்ள தேசிய மக்கள் தொகை நிலைப்படுத்துதல் நிதியை மூடிவிட்டு, அதனை நிதியாக சுகாதார மற்றும் குடும்பநலத் துறையால் நிர்வகிக்க முடியும்.
Background:	பின்னணி:
Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	பிரதமர் திரு. நரேந்திர மோடி இன்று (2018, மே 28) நெதர்லாந்து அரசி மேன்மை தங்கிய மாக்சிமாவைச் சந்தித்தார்.
The two leaders also discussed global development finance.	உலகளாவிய மேம்பாட்டுக்கான நிதி உள்ளிட்டவை குறித்தும் இரு தலைவர்களும் விவாதித்தனர்.
Queen Maxima appreciated India’s efforts in this direction, through the Indian Technical and Economic Cooperation (ITEC) scheme and provision of concessional Lines of Credit for development projects abroad, based on the host government’s requirements and priorities.	இதில் இந்திய தொழில்நுட்பம் (ITEC) மற்றும் பொருளாதார ஒத்துழைப்புத் திட்டத்திலும் வெளிநாடுகளில் திட்ட மேம்பாடுகளுக்காக அந்தந்த அரசுகளின் தேவைகளுக்கும் முன்னுரிமைகளுக்கும் ஏற்ப கடனுதவி அளிப்பதிலும் இந்தியா மேற்கொள்ளும் முயற்சிகளை அரசி பாராட்டினார்.
