The rationalization of Autonomous Bodies under Department of Health & Family Welfare will involve inter-ministerial consultations and review of existing bye laws of these bodies.	ആരോഗ്യകുടുംബക്ഷേമ വകുപ്പിന് കീഴിലുള്ള സ്വയംഭരണസ്ഥാപനങ്ങളുടെ യുക്തിസഹമായ പുനഃംഘടനയില്‍ മന്ത്രിതല പരസ്പര കൂടിയാലോചനകളും ആ സ്ഥാപനങ്ങളുടെ നിലവിലുള്ള നിയമങ്ങളുടെ പുനഃപരിശോധനയും ഉള്‍പ്പെടും.
The time frame for implementation is one year,	ഇത് നടപ്പാക്കുന്നതിന് ഒരു വര്‍ഷ കാലാവധിയാണ് അനുവദിച്ചിരിക്കുന്നത്.
Rashtriya Arogya Nidhi (RAN) was set up as a registered society to provide financial medical assistance to poor patients receiving treatment in designated central government hospitals.	നിര്‍ദ്ദിഷ്ട കേന്ദ്ര ഗവണ്‍മെന്റ് ആശുപത്രികളില്‍ ചികിത്സ തേടുന്ന പാവപ്പെട്ട രോഗികള്‍ക്ക് സാമ്പത്തിക സഹായം നല്‍കുന്നതിനാണ് രാഷ്ട്രീയ ആരോഗ്യനിധി രൂപീകരിച്ചത്.
Since the DoHFW provides funds to the hospitals, the grants can be given from the Department to the hospital directly.	ആരോഗ്യകുടുംബക്ഷേമവകുപ്പ് ആശുപത്രികള്‍ക്ക് ഫണ്ട് നല്‍കുന്ന സാഹചര്യത്തില്‍ ഗ്രാന്റും വകുപ്പില്‍ നിന്ന് നേരിട്ട് ആശുപത്രികള്‍ക്ക് നല്‍കാന്‍ കഴിയും.
RAN functions can, therefore, be vested in DoHFW.	അതുകൊണ്ടുതന്നെ ആര്‍.എ.എന്നിന്റെ പ്രവര്‍ത്തനം ആരോഗ്യകുടുംബക്ഷേമവകുപ്പില്‍ നിക്ഷിപ്തമാക്കാന്‍ കഴിയും.
Managing Committee of RAN Society will meet to dissolve the Autonomous Body (AB) as per provisions of Societies Registration Act, 1860 (SRA).	1860 ലെ സൊസൈറ്റി രജിസ്‌ട്രേഷന്‍ ആക്ടിന്റെ (എസ്.ആര്‍.എ) വ്യവസ്ഥകള്‍ പ്രകാരം ആര്‍.എന്‍.എന്നിന്റെ മാനേജിംഗ് കമ്മിറ്റി യോഗം ചേര്‍ന്ന് സ്വയംഭരണസ്ഥാപനം പിരിച്ചുവിടും.
In addition to this, Health Minister’s Cancer Patient Fund (HMCPF) shall also be transferred to the Department.	അതിന് പുറമെ കാന്‍സര്‍ രോഗികള്‍ക്കുള്ള ആരോഗ്യമന്ത്രിയുടെ ഫണ്ടും വകുപ്പിന് കൈമാറ്റംചെയ്യാം.
The timeline required for this is one year.	ഇതിന് ആവശ്യമായ കാലാവധി ഒരുവര്‍ഷമാണ്.
Jansankhya Sthirata Kosh (JSK) was set up with a corpus grant of Rs.100 crores in the year 2003 to raise awareness for population stabilization strategies.	ജനസംഖ്യാ സ്ഥിരത തന്ത്രങ്ങള്‍ ശക്തിപ്പെടുത്തുന്നതിന് 2003ല്‍ 100 കോടി രൂപയുടെ ഗ്രാന്റോടെ രൂപീകരിച്ച സ്ഥാപനമാണ് ജനസംഖ്യാ സ്ഥിരതാ കോശ് (ജെ.എസ്.കെ).
JSK organizes various activities with target populations as a part of its mandate.	അതിന്റെ അനുശാസനപ്രകാരം ജനസംഖ്യാ ലക്ഷ്യത്തിന് വേണ്ടിയുള്ള വിവിധതരം പരിപാടികളാണ് ജെ.എസ്.കെ സംഘടിപ്പിച്ചിരുന്നത്.
