Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	নতুন দিল্লিতে সোমবার প্রধানমন্ত্রী শ্রী নরেন্দ্র মোদীর সঙ্গে নেদারন্যান্ডসের মহারানী ম্যাক্সিমা সাক্ষাৎ করেন।
Queen Maxima is visiting India in her capacity as UN Secretary-General’s Special Advocate for Inclusive Finance for Development.	উন্নয়নমূলর বিভিন্ন কাজের জন্য অর্থ-সহায়তার লক্ষ্যে রাষ্ট্রসঙ্ঘের মহাসচিবের বিশেষ দূত হিসেবে তিনি ভারত সফরে রয়েছেন।
Queen Maxima appreciated the progress achieved by these initiatives.	মহারানী ম্যাক্সিমা এই উদ্যোগগুলির সাফল্যের প্রশংসা করেন।
The two leaders also discussed global development finance.	উভয় নেতাই বিশ্বব্যাপী অর্থ-ব্যবস্হার অগ্রগতির বিষয়ে আলোচনা করেন।
At the inauguration of the Health and Wellness Centre, he interacted with ASHA workers.	স্বাস্থ্য ও চিকিৎসাকেন্দ্রের উদ্বোধনকালে আশা কর্মীদের সঙ্গেও কথা বলেন প্রধানমন্ত্রী।
He visited a model Anganwadi Centre, and interacted with Anganwadi workers and beneficiary children of Poshan Abhiyan.	একটি আদর্শ অঙ্গনওয়াড়ি কেন্দ্র পরিদর্শন করে সেখানকার অঙ্গনওয়াড়ি কর্মী এবং পুষ্টি অভিযানের সুফলভোগী ছেলে-মেয়েদের সঙ্গেও আলাপচারিতায় মিলিত হন তিনি।
He launched the Van Dhan Yojana, which aims at empowering tribal communities.	আদিবাসী সম্প্রদায়গুলির ক্ষমতায়নের লক্ষ্যে সূচনা করেন ‘বন-ধন যোজনা’র।
It envisages a mechanism for marketing of Minor Forest Produce through Minimum Support Price and development of value chain for MFP.	ন্যূনতম সহায়ক মূল্যে ছোটখাট বনজ উৎপাদনের বিপণনের ব্যবস্থা রয়েছে এই কর্মসূচির আওতায়।
Via video conference, the Prime Minister dedicated to the nation, the Bhanupratappur-Gudum Railway Line.	এক ভিডিও কনফারেন্সের মাধ্যমে শ্রী মোদী ভানুপ্রতাপপুর-গুদাম রেলপথটি উৎসর্গ করেন জাতির উদ্দেশে।
He flagged off a train between Dalli Rajhara and Bhanupratappur.	দাল্লি রাজারা এবং ভানুপ্রতাপপুরের মধ্যে একটি ট্রেন যাত্রারও আনুষ্ঠানিক সূচনা করেন তিনি।
He also inaugurated a dialysis centre at Bijapur Hospital.	বিজাপুর হাসপাতালে উদ্বোধন করেন একটি ডায়ালিসিস কেন্দ্রের।
Addressing an enthusiastic gathering, the Prime Minister paid homage to the martyrs from the region who had fought against British Imperialism.	এক জনসমাবেশে ভাষণদানকালে ব্রিটিশ সাম্রাজ্যবাদের বিরুদ্ধে সংগ্রাম করে যাঁরা শহীদ হয়েছেন, তাদের উদ্দেশে গভীর শ্রদ্ধা নিবেদন করেন শ্রী নরেন্দ্র মোদী।
He also paid homage to the security personnel who laid down their lives in Naxal-Maoist attacks, in the region.	ঐ অঞ্চলে নকশাল ও মাওবাদী হানায় নিহত প্রতিরক্ষা কর্মীদের উদ্দেশেও শ্রদ্ধা জানান তিনি।
The Prime Minister noted that the Union Government had earlier launched two significant development initiatives, the Syama Prasad Mukherjee Rurban Mission, and the Pradhan Mantri Gramin Awaas Yojana, from Chhattisgarh.	প্রধানমন্ত্রী তাঁর ভাষণে বলেন যে এর আগে ‘শ্যামাপ্রসাদ মুখার্জি রারবান মিশন’ এবং ‘প্রধানমন্ত্রী গ্রামীণ আবাস যোজনা’ নামে দুটি গুরুত্বপূর্ণ উন্নয়ন কর্মসূচির সূচনা করা হয়েছিল ছত্তিশগড় রাজ্য থেকে।
Today he added, Ayushman Bharat and Gram Swaraj Abhiyan, are being launched from the State.	আর আজ এই রাজ্যটি থেকে সূচিত হচ্ছে ‘আয়ুষ্মান ভারত’ এবং ‘গ্রাম স্বরাজ অভিযান’ নামে আরও দুটি কর্মসূচি।
He said that the Gram Swaraj Abhiyan would ensure that all development initiatives launched by the Union Government in the last four years, reach the poor and disadvantaged sections of society.	গত চার বছরে কেন্দ্রীয় সরকার রূপায়িত বিভিন্ন উন্নয়নমূলক কর্মসূচির সুফল যাতে সমাজের দরিদ্র এবং অবহেলিত মানুষের কাছে পৌঁছে দেওয়া যায়, তা নিশ্চিত করতেই ‘গ্রাম স্বরাজ অভিযান’-এর সূচনা।
He said that the Gram Swaraj Abhiyan would extend from today till the 5th of May.	এই অভিযানটি আজ থেকে শুরু হয়ে চলবে আগামী ৫ মে পর্যন্ত।
The Prime Minister said Babasaheb Ambedkar had a key role to play in the establishment of “aspiration” in the hearts and minds of crores of people.	প্রধানমন্ত্রী বলেন, দেশের কোটি কোটি মানুষের হৃদয়ে আশা-আকাঙ্ক্ষার জন্ম দিয়েছিলেন বাবাসাহেব আম্বেদকর।
Explaining the significance of holding this event in Bijapur today, the Prime Minister said that Bijapur is one of the over 100 aspirational districts in the country, which have got left behind in the development journey.	বিজাপুরে এদিনের এই অনুষ্ঠান আয়োজনের তাৎপর্য ব্যাখ্যা করতে গিয়ে শ্রী মোদী বলেন, দেশের যে ১০০টি জেলা এখনও উন্নয়নের নিরিখে পিছিয়ে থাকা সত্ত্বেও উন্নয়ন প্রচেষ্টার জন্য উন্মুখ, বিজাপুর হল তারই অন্যতম।
