Prime Minister Narendra Modi met Her Majesty Queen Maxima of the Kingdom of the Netherlands today.	প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোদীয়ে আজি নেদাৰলেণ্ডছৰ মহাৰাণী মহামহিম মেক্সিমাক সাক্ষাৎ কৰে৷
Queen Maxima is visiting India in her capacity as UN Secretary-General’s Special Advocate for Inclusive Finance for Development.	উন্নয়নৰ বাবে সৰ্বব্যাপী বিত্তীয় সহযোগিতাৰ বাবে ৰাষ্ট্ৰসংঘৰ সাধাৰণ সচিবৰ বিশেষ ৰাষ্ট্ৰদূত হিচাপে মহাৰাণী মেক্সিমাই ভাৰত ভ্ৰমণলৈ আহিছে৷
Prime Minister Modi and Queen Maxima discussed the various initiatives taken in the last few years by the Government of India for enhancing financial inclusion in India, such as Jan Dhan Yojana, Pradhan Mantri Jeevan Jyoti Bima Yojana, Pradhan Mantri Suraksha Bima Yojana, and Atal Pension Yojana.	প্ৰধানমন্ত্ৰী মোদী আৰু মহাৰাণী মেক্সিমাই বৈঠকত ভাৰত চৰকাৰে বিগত সময়ছোৱাত জন ধন যোজনা, প্ৰধানমন্ত্ৰী জীৱন জ্যোতি বীমা যোজনা, প্ৰধানমন্ত্ৰী সুৰক্ষা বীমা যোজনা আৰু অটল পেঞ্চন যোজনাৰ দৰে আঁচনিৰ জৰিয়তে বিত্তীয় অন্তৰ্ভুক্তি বৃদ্ধিৰ প্ৰয়াসৰ পদক্ষেপসমূহ আলোচনা কৰে৷ এই পদক্ষেপৰ ফলস্বৰূপে ভাৰতে প্ৰগতিৰ পথত আগুৱাইছে বুলি মহাৰাণী মেক্সিমাই প্ৰধানমন্ত্ৰী মোদীক প্ৰশংসা কৰে৷
Queen Maxima appreciated the progress achieved by these initiatives.	তেওঁলোকে গোলকীয় বিত্ত উন্নয়ন সন্দৰ্ভতো আলোচনা কৰে৷ মহাৰাণী মেক্সিমাই এই দিশত ভাৰতীয় কাৰিকৰী আৰু আৰ্থিক সহযোগ(আইটিইচি)আঁচনিৰ মাধ্যমেৰে ভাৰতে গ্ৰহণ কৰা পদক্ষেপক প্ৰশংসা কৰে৷
The Prime Minister Shri Narendra Modi has greeted the people of Nagaland on their Statehood Day.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে নাগালেণ্ডৰ প্ৰতিষ্ঠা দিৱসত ৰাজ্যখনৰ লোকসকলক শুভেচ্ছা জনাইছে৷
Prime Minister Shri Narendra Modi has extended his greetings on Army Day.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে সেনা দিৱস উপলক্ষে শুভেচ্ছা জ্ঞাপন কৰিছে।
The Union Cabinet chaired by Prime Minister Shri Narendra Modi has given its ex-post facto approval for the Memorandum of Understanding (MoU) between India and Morocco on India-Morocco Cooperation in Renewable Energy.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীৰ অধ্যক্ষতাত অনুষ্ঠিত কেন্দ্ৰীয় কেবিনেটে ভাৰত আৰু মৰক্কোৰ মাজত নৱীকৰণযোগ্য শক্তিক্ষেত্ৰৰ সহযোগিতাত পূৰ্ব-স্বাক্ষৰিত বুজাবুজিৰ চুক্তিত অনুমোদন জনাইছে৷ ২০১৮ৰ ১০ এপ্ৰিলত নতুন দিল্লীত বুজাবুজিৰ চুক্তিখন স্বাক্ষৰ কৰা হৈছিল৷
The MoU envisages establishing a Joint Working Committee to review, monitor and discuss matters relation to areas of cooperation.	বুজাবুজিৰ চুক্তিখন দুয়োখন দেশৰ মাজত দ্বিপাক্ষিক সহযোগিতা শক্তিশালী কৰাত সহায়ক হ’ব৷
Following is the text of the Prime Minister, Shri Narendra Modi’s departure statement prior to his visit to Russia.	নিম্নোলিখিত বক্তব্য ৰাছিয়ালৈ ৰাওনা হোৱাৰ পূৰ্বে প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে দিয়া প্ৰেছ বিবৃতিৰ লিখিত ৰূপ।
“Greetings to the friendly people of Russia.	“বন্ধুত্বসুলভ ৰাছিয়াবাসীক শুভেচ্ছা জনাইছো।
I look forward to my visit to Sochi tomorrow and my meeting with President Putin.	কাইলৈ মই ছোচি ভ্ৰমণলৈ যাম আৰু ৰাষ্ট্ৰপতি পুটিনৰ সৈতে বৈঠকত মিলিত হ’ম।
It is always a pleasure to meet him.	তেওঁৰ সৈতে হোৱা সাক্ষাতে মোক সদায় আনন্দ দিয়ে।
The Prime Minister, Shri Narendra Modi, today addressed the Indian community in Yangon, Myanmar.	প্ৰধানমন্ত্ৰী শ্ৰী নৰেন্দ্ৰ মোদীয়ে আজি ম্যানমাৰৰ য়াংগনত ভাৰতীয় সমূদায়ক উদ্দেশ্যি ভাষণ আগবঢ়ায়।
“You represent thousands of years of the shared culture and civilisation, geography and history, aspiration and achievements of the great sons and daughters of India and Myanmar,” the Prime Minister said, addressing the gathering.	সমবেত ৰাইজক উদ্দেশ্যি প্ৰধানমন্ত্ৰীয়ে ম্যানমাৰত বসবাস কৰা লোকসকলে দুয়ো দেশৰ মহান সতি-সন্ততিসকলৰ মাজত হাজাৰ হাজাৰ বছৰ পুৰণি সংস্কৃতি আৰু সভ্যতা, ভৌগোলিক আৰু ঐতিহাসিক, আশা-আকাংক্ষা আৰু কৃতিত্বক প্ৰতিনিধিত্ব কৰিছে।
The Prime Minister elaborated on the rich spiritual traditions of Myanmar.	প্ৰধানমন্ত্ৰীয়ে ম্যানমাৰৰ চহকী আধ্যাত্মিক পৰম্পৰাৰ সন্দৰ্ভত ব্যাখ্যা দাঙি ধৰে।
The Prime Minister said that the Indian diaspora is like “Rashtra-doot” for India.	প্ৰধানমন্ত্ৰীয়ে কয় যে ভাৰতীয় বংশোদ্ভৱসকল ভাৰতৰ বাবে ৰাষ্ট্ৰদূতসদৃশ।
He said that the global recognition of Yoga is the achievement of the diaspora, who took it to all corners of the world.	তেওঁ কয় যে যোগৰ বৈশ্বিক স্বীকৃতিও এই প্ৰবাসী লোকসকলৰে কৃতিত্ব, যিসকলে বিশ্বৰ চুকে-কোনে ইয়াক প্ৰসাৰিত কৰিছে।
